"a mouse and house
met a house and a mouse",
"They watch from the rafters,
covering their dark
pupils with little willow hands,
open mouths. They want to play,
perhaps, peekaboo—no.
The way they open
their pleading palms, splintered
life lines gnawing at the edges:
They’re hungry.",
"When the eighth graders said Roy the Ice Cream Man
sells cocaine I believed—how else did summer’s hawker
grouch through winter? No kids on the street to hear
his jangle and badger mothers for one more dollar.
I searched popsicles for stimulant grains. None.
Hunted the kaleidoscope menu for street slang
codes on the truck’s side: Snow Cones Rule!
or Ice Cream Summers Really Rock! Nothing.
Gave up my confession search in Roy’s bearded
Buddha face, serene. Same year Nirvana hit September
big—too cool for ice cream. Seething winters
instead. Roy hibernated in the back of his truck
for years, I thought. Didn’t see him at all until one
Christmas, driving to my dad’s place again—
passed that old truck in a Rockland Ave driveway,
saw a man with a caretaker’s fresh white beard
brushing snow from the windshield, clean and jolly,
wore a loving wife’s knitted scarf. Bingo weekends,
no doubt. Still found the time to drive the truck,
a local Santa for the new youth of this town.
Smiled to myself at first, but then my grip on the wheel
turned to metamorphic rock, and I implored time
to spare me the pressure of its determined cycles.",
"We don’t have time to fathom how we’re feeling,
we, with connections to make and smiles to fake,
flout the flowers and find
we only wish to have known ourselves.
The first and foremost has somehow been left for last
and no thesaurus can untangle this problem
(dilemma, quandary, predicament)
of living as a pronoun without an antecedent
and wearing your soul inside out.
That stretches it out, you know,
but I suppose you might grow into it
or perhaps it will shrink in the wash
(spinning, spinning, spinning)
and come out as good as new,
just the right size to swaddle a newborn.
I yearn to wear mine out,
to do it justice and live justly—
this treasured hand-me-down deserves that much,
so one day I can fold it up,
well-loved and threadbare,
having loved the bare threads well.",
"And I sure miss the way that your Christmas lights shined
Pulling up to your house late one December night
We used to flinch when your windowpanes creaked
As the rain got its way, trailing down glass in streaks
I once loved the sigh of your silk pillowcase
As it wrinkled and sank down to cradle your face
I recall the clanking of your kitchenware
As I reached up to get it to prove I knew where
It is funny to think of your kitchen sink
No matter how dirty, Dawn bubbles shined pink
And there’s candy hidden in the empty flower vase
Your sister leaves hair ties all over the place
In your bathroom you kept a blowfish soap dispenser
Try as I may I can’t seem to forget her
In my dreams I lay back on her old leather couch
Wander the halls of that familiar house
I slide in socks across the hardwood floors
Run past the usual windows and doors
The trouble is, a small town can feel so alone
Sometimes I drive by but you’re never home.",
"Last night I dreamed in rose gold
woven among silky black strands of ribbon.
The gardens were cropped and rowed,
trimmed like a hedge maze,
posies precise and pinpointed.
I wondered if the fountain streamed waters of youth
and could it preserve me
the way it had this place?
If I could watch the dusty-gray rabbit
sift among clovers, sipping wine in spring air
at the banks of the canal, or sit among the richly
papered red walls, feet on marble floors, eyes
on the paintings of angels overhead
for eternity—would I stay and melt into the quiet walls?
In the garden, the women were frozen in poses
of quiet contentment and their faces were passive
as their lowered hands. Full cheeks couldn’t flush
with primrose color, and young foreheads over unlined eyes
would not fill the grounds with beaming life.
Each figure weathered with time
is haphazardly preserved in image,
but lost in memory, drifting softly from
the chateau doors, never their soles again
to pad along the marble floors.",
"Just before the credits slip down the windshield
making the open road harder to see,
I’ll pop in the ‘‘Tiny Dancer’’ cassette
so there’s something for after we drive off
into the distant fireball out West:
Piano that twinkles against the cooling mood
while people sit there for the very end of evening,
which swallows the now cola-colored screen
and smacks its lips at the fatigued ovations,
eating up even the half-popped kernels and
the story of you and I.
But you’ll only discover
how little it all means in small towns
where star power is made anonymous
by the glittered gown of the night sky,
and there’s no one left in Albuquerque
to tell you how to act,
or how to feel about reclining
the passenger seat for one more trip
into the folds of terra-cotta leather,
of milky almond skin.
Once I drop you off
at another square house on the tongue of Las Vegas,
you’ll look down at a pair of smoking rubber streaks
where, by then, I’d have punched the Countach into hyperspace,
and you will wait for the phone to ring “I’m home,”
until the TV screens a site familiar
to you, but this time dressed in red:
A vintage sports car off road,
my head flat against the woodgrain oak.",
"Like a little bride, I was allowed to select my own dress,
from a selection of cousins’, to be sure, but still
it thrilled me to draw fingers about the mass of chiffon and tulle,
pawing at lace so light it floated as my mother lifted one dress after the other
off the back of my bedroom door and handed them down to me.
I picked a yellowing, frilly ensemble with a sober Edwardian neckline. My mother
called it champagne, and elegant, and so I felt: a grown-up
Catholic lady, ready to join that coveted Communion line at Mass.
The day came in with sheets of rain, but no matter. I awoke pure, soul
white as my sister’s dress, in the closet next to mine.
Today, I thought, would be the most important day of my life,
and I was ready, having confessed the sum total of my sins
– sometimes, I’m mean to my sisters – and prayed them away.
This afternoon, I would be different. The how of it didn’t matter, the precise
moment bread would become flesh and wine blood – was it in my mouth
or before? Could I see it, or only taste the difference? – I would be made
holy, like the children in my CCD book with yellow light all about them.
We’d rehearsed it, sure, even tasted the unblessed
wafer, but the teacher assured us this didn’t count, only
bread, with no bits of Jesus blessed into it. The real miracle would take place
today, and, dashing from station wagon to church under cover
of my father’s umbrella, I splashed my shiny
plastic Mary Janes into every puddle.
I don’t remember the mass, only kneeling before
the old parish priest, who told a terrifying homily comparing Jesus
to a bloodied, suicidal hummingbird. Could Christ feel it
when we ate of Him every Sunday,
thousands of Catholics all about the world nibbling off little pieces
of Him? Though the wafer tasted of cardboard,
just like the unblessed one, my saliva
softened it into skin, and I accepted the difference.
Stepping tentatively towards the chalice, I closed my eyes tight, preparing
for that thick, salty, unmistakable taste, a taste I knew
from all those times I’d bitten my tongue hard enough to draw blood
or licked my scrapes after splitting my palms open
in the driveway, playing hopscotch.
But this, this was something else entirely. Tipping",
"the chalice back, I found it surprisingly heavy
and a mouthful of the stuff sloshed into the back of my throat.
I had already done it, screwed my eyes inward and puckered my lips
like a little old woman, before I remembered
with sudden contrition my mother’s instructions: no grimacing in God’s house.
Gnawing on my tongue as I slouched back in my seat,
I eyed dying Jesus behind the altar as if to ask
whether I had been mistaken, whether wine could ever
taste like blood, or I’d just been gullible enough to believe it would.
My sister beamed down the aisle with pride and puffy white sleeves,
a perfect cherub, and I wondered if she’d tasted
God, or just pretended she had. In my mother’s car after mass,
still clad in my crummy champagne dress, I decided
to tell my first lie.",
"Corn season is over
The stalks have been ripped from their fertile soil, its purpose
Now fulfilled until next year
Forced one by one into the waiting chains that grind and
tear their kernels away
From home husks
Temporary planted until the fields become
Cold and await the first snow.
The smooth track of Waggoner’s Gap
can be traced with a finger
Through the naked tree line
(they die quickly here)
Out east until it hits King’s Gap Mountain
near Newville Township
Past the Yellow Breeches bridge on Pine Road
Men stand knee-deep shaky in rainbow trout.
A nest of eagles hatched there four Octobers ago

In a cliffside feather bed, seen by webcam.
That same year a 17-year-old boy crashed his car and killed his best
friend.
Wet obituaries were tacked onto one-door refrigerators.
A stop sign memorial now stands at the corner of
Mooreland and Walnut
He killed himself a year later in the brick house down the road from an
elementary school with an American flag
noose, taken from his front yard.
His girlfriend went the same
Roads run longways
along the edge of dead woods
down Rockledge Drive past soccer fields
Carved down the middle of farm lots
like a windpipe
Their distant boundaries bleed into the base of the
Appalachians,
A deep shade of blue when they breathe deeply",
"I hold a shovel in my hand.
Echoes careen down ventricles,
and the distant dirge of violent rain
comes from where I am going.
I do not feel the rain.
I arrive on shoulder bone shores
where my dead daughter scrapes me
inside.
She ascends the cartilage cliffs
where chalk white shards
fall and disappear into the deep.
She passes through.
Apologetically, she digs pockmarks with her pick
and climbs to where she is going.
When I return to lift
the damp, heavy earth
and seal her in,
I do not feel the rain.",
"where the blood runs
and the grass is watered
with piss and natural light.
I’d puke, but I haven’t
eaten in days
because all they serve is dry humor
and turkey served with a salty side.
Classic New England.
Somehow all of it is imported from the most obscure
corners of the Midwest,
like my classmates and their hay-colored hair
who stand in the darkest corners
where runny noses drag in the dust
collected in someone’s basement off-campus.
And my body, draped in gold fabric,
gives for it to soak up maroon
sweat dropping, like colorful soles into the pavement.
It doesn’t matter which color; we can be anything here.
Anything but the commonwealth.
It will end, but don’t rest,
in St. Mary’s mercy,
until, among the stained images,
weary hands held high become
ready to lie down on the Hill,
so that the smell of death may become a parent
to cries of anguish: the tower’s newborn ring.",
"Under fluorescent spotlights, they tangle
and untangle heavy,
industrial-strength cords made
to withstand the mist of the two A.M. July sky.
Pharaoh’s boat, with wheels tucked underneath,
retires from its voyage across seas
of Midwest sky.
It’s silent with the memory
of adolescents smacking their gum,
crackling broken bottles under their sneakers,
crouched behind amphitheater benches,
whispering their secrets,
leaving each other with half-pursed
lips and heavy tongues.
It’s empty now,
and the sky is still thick with firework
smoke and the smell of stale popcorn
lingers. The echo of laughter rings like bells
in their ears.
The caravan—the fleet of ships
finds the wind in its sails,
sets off to seek a place for its sleeping
dragons, and
(so as not to wake them)
begins its voyage before the sun—
is gone by morning.",
"The universe was yawning.
One shift grew an endless gap,
like points X and Y diverging,
chaos born from our mishap.

One shift grew an endless gap.
We watched a hurricane of butterflies—
Chaos, born from our mishap.
They swirled, and took to the skies.

We birthed a hurricane of butterflies,	
a peculiar and prismatic aberration.
They swirled. They took over the skies
until correlation became causation.

Triangulate our prismatic aberration
to calculate the mass of a massive waste.
Now correlation becomes causation.
Density—or destiny—is braced.

Calculate the mass of a massive waste.
With points X and Y diverging
destiny—or density—is braced.
Elsewhere, the universe is yawning.",
"Strings released, we 
drifted—sometimes 
up. My thoughts charted 
the course of how to live like 
the last plastic balloons. High 

and sipping on ozone, 
the dreams between my ears 
popped. I almost missed 
the moment my skin cells 
grew titanium plates.

The runway of the world 
opened wide once I
moved in rocketing bursts. I’m
so dizzy exploring 
the sky between us

because these eruption thoughts 
spend like fuel. The tang 
reminds me spaceships 
don’t look down, missing 
all the air they used to breathe.",
"My boss said I was all set 
to be a writer 
because I am just so goddamn 
emotional. And I thought, 
Fuck. Not another man 
who knows he knows the flavor 
of my thoughts.

He said: Learn to have an arrogance
about yourself. But arrogant girls 
are just bitches 
and all bitches get 
are table scraps. So after I cried 
in a backroom bathroom 
I went back to hand washing
dishes. He asked if I was fine 
and I said I was fine even though 
I wanted to tell him he needed
to install a dishwasher. 

He said: Let’s see who makes more 
tips tonight—guys
or girls. And I realized 
everyone was ready
to either chew 
me out or spit me out. 

He said: To be a writer, first 
you’ll need to get lost. So, 
that night, after
a waiter shattered another 
Sabayon fishbowl, I watched
eighty dollars swirling 
like a pipe dream. My skull
went with it.

I said: Where is my check. When
will you have it. I hounded him 
for weeks. Then, 
when he handed me regurgitated 
ATM bills, I didn’t 
pretend a thing. I was too busy
drinking down every dime.
To the last drop.",
"Look at me! 
shouts the wind
indignant at my absent air.

For an hour,
that petulant boy
has disturbed my sitting, my reading:

flipping my pages,
flapping my coat,
whipping the heat from my hands.

I press the book down, resolute,
ignore the waves he paints across 
the roiling water, his rhyme in the leaves.

Persistent, he blows 
square in my face, he slaps my cheek,
tears up my eyes, shrieks right into my frosted ears—

Look at me! 
What book in this world 
could be so important?",
"He walked slow, with heavy steps
And swaying movements.
His hands always dry and scarred, digging into the inside of his palm.
He moved with stiff, but messy motions
That made the keys tied to his belt loop ring as they hit against each other.
He stirred the dirt beneath his feet.
The dirt stuck in the creases of the bottom of his broken shoes;
The rubber ripped off the leather almost completely.
His one shoelace on his right shoe was always frayed.
He always had dark skin by his swollen eyes,
Swollen like he'd been crying,
Like he slept with heavy stones blocking the light from his eyes.
He smelled of stale liquor.
Liquor and old, cigarette smoke that never faded away.
I could've sworn he'd bathed in it every day.
But never did I ask him why,
Never did I even have the thought to.
Not until I saw him that one morning
Standing in the field outside my home room window.
He just fell back like he thought the wind would catch him.
His eyes caught mine for an instant as he flew towards the ground,
His hair lifted from the perspiring skin it clung to.
His lips parted like he was in shock,
But he in no way regretted what he'd done.
I was the only one who saw, but yet I didn't say a word.
I couldn't.
I just looked down at my pale, shaking hands,
With my nails deep in my skin,
Right at the moment before I heard the sickening, muted thud
Of his head cracking on stone.
I kept hearing it in my head, I still do.
His fallen hand, just in sight above the sill of the window,
Turned cold.
I saw his hand turn cold and blue and harden like plaster on wood
And I felt the need to grab it and shake it back to life.
But I knew it wouldn't help.
He remains still and I remain quiet.",
"A burnt orange breasted, almost charred 
feathered foe 
with inky black plumes jutting out of skull
head and hind 
presents a looming essence.  
Head cocked, eyes peer with sunken adjustment, 
teetering on his craggy perch—
hackles raise, jagged beak and jaw unhinge to expel
a mucus-coagulating screech
     pumps molten horror. ",
"TJ and I are out, as usual.
we fear danger,
we fear being mistaken as Danger: we are
constantly cautious so as not to startle
The Cautious, our looks pull
Their Trigger.
We simply are here, trying,
wanting so deeply 
 to be Understood,

just this one time.

I’d like not to be behind
before the race even begins, before
The Official’s gun can even
jolt the Spectators with a
bang and some smoke
in the air, blotching color 
where they expect to see none
(Well, until it is invisible,
again, forgettable, and not for

just this one time.)

Tonight, our spectators 
are simply the Neighbors,
even though they don’t act like
Neighbors as they peer from curtains
in front rooms suspicious of us
because of this uniform we are
born wearing. They wait
for us to prove ourselves Worthy --
but won’t help us to become so,
not realizing that we already are worthy,
simply because 

we are. Though it won’t be  just this one time,

we still try, TJ, because this 
is everyday: it shouldn’t be,
But it always is, and we are always;
we are trying,
officer",
"Stretching sticky-sweet 
mornings soaked in
pineapple sunlight, strawberry silence,
green grass growing days.

In those days we 
napped in our peach pit penthouses, 
wondered where we’d be next year 
(they told us we can be anything)

or we 

wandered the apple orchard
with blueberry stained braces
and cherry pie smiles
 (aren’t we American?)

Until plum twilight, porch lights 
left on led us home to 
crash on cantaloupe couches,
soft seeds promising life.",
"i should have been named diego; la sangre de españa lurking within me
would have puffed out its chest and proclaimed i was here to revive el siglo
de oro over in the “new world.” i would have been solid, a man of realism
and integrity and oil on canvas, a man who made a piece vital enough it had
become the basis of the theology of painting. royalty’s most prized commodity.

i should have been named diego; there’s a history there that my ancestors would
have liked to have seen swirl in the northern states. he was converso and a native
storyteller wrapped into sprawling murals and coffee colored skin. a diego who
spun simplified figures and bold colors into fables and fairy tales and history.
his calla lilies hang on my wall, purity and faith curled into hands like mine.

when i arrived, silent and smaller than anticipated, unqualified to be the artist,
the myth; rather, i adopt the titular name of una reyna. once upon a time, a diego
strokes a brush down a canvas, looks into the past to the queen that unified spain,
the good catholic, the founder of a modern bureaucracy, the ruler of an empire
that craved gold like hungry swine, a beautiful sea serpent, hungry for human flesh.",
"goya speaks to me with spanish flow
dialect tumbling down tongues eager
to taste some semblance of hogar
in white places. the woman next to me
scoffs at words she can’t pronounce,
repeats them in a mocking tone while
my eyes trace a boy with a jarritos
guayaba blush painting his cheeks.

native tongues are not welcomed into
suburbia. i pull tostadas from the shelf,
place them next to almond milk, eggos;
the picture of american dreaming.
turning my back on the woman jeering
with lip upturned, i spin myself towards
tanned skin and sangria suit jackets.

her name tag proudly proclaims 15 years,
but her eyes say a few too many so i stay
quiet as she packs pieces of me
into recycled bags that cost 2.99. i let
her place them in the carriage before giving
thanks in our rejected mother tongue.",
"Outside, the stone of the church
presses cold into the palm of my small hand. 
Mom tells me, 

Spirits pull its heat so they might depart 
from these grounds golden with wheat.",
"Brides walk the middle isle in white, 
both hands cupped full of red: love
leaks from their hearts,

pulled up and out of chaste chests. Here,
girls offer themselves under the cold stone.  ",
"The church wears Easter well: 
blue-grey painted face and windows
like eyes. Inside the people

bend on knees to worship a sacrifice
not even the aged stones remember accurately. ",
"Still every Sunday I linger at the door,
feeling for the cold - ghosts 
trying to escape. 

Once mother leaves me and I am alone
I will not come to visit her among these lonely stones.  ",
"How’s your memory? Does she still
dance? Waltz through the living
room, turn off all the lights,
pull the photos from the walls &
listen to the glass 
shatter?

You used to lie
on the floor, run your fingers 
through her hair
		     and cry. ",
"boxes
stacked like blocks
filled with life
filled with stories

of best friends
and friendships at their end
of lovers turned roommates
and roommates turned lovers
and loners
ambling around

listening
to epik high
blaring from speakers
two floors above
and to arguments
spilling from mouths
three floors down
and to friends catching up
in the room next door

listen to these

boxes
stacked like blocks
brimming with life
on this tuesday night",
"I love the way the axel of his wrist
turns the vortex of space with a spoon
between our eyes. This moment is trapped on vinyl,
meditating like a mug on the microwave turntable,
somewhere in the background of our eyesight.
The kitchen light is dark.

My tongue catches me off guard when I tell
him that I love him. The timer shatters, and the light
of the microwave like the nebula in his iris 
disappears across the event horizon.

I’m reminded that I define him by what he isn’t. 
We cannot understand each other with our skewed gaze.
The mug of waning moonlight doesn’t warm my hands
like I hoped it would. He remains outside my atmosphere.

But later, in the fractured bedroom mirror,
he bucks his palm into my chest. I let him pile drive my heart
until it collapses in on its own density and his weight locks into my hip 
and the shrinking space between our lips cuts off the morning sun. 
A moment passes and with new air in my throat, I glance, glacier-nosed
and bite into the clock-time on his neck.

Between us,
in thinning layers,
there is only Ozone.",
"your sound of modern loneliness when it’s cold outside –
I hear it each time we hit Blandford St and slip
underground backwards, the light slides away and it’s
Kenmore and pressing bodies and Hynes and
leaned-back closed-eyed heads bumping against the glass.

It sounds a lot like steel grating steel tracks
a tin voice calling stop then tired stop.
I can feel my skin around my bones and
this tunnel tight around the train.
The dark clinging to the window presses my own face back at me.

There’s no route 128 opening up
no radio on
there are only those nights resurfacing to get stranded somewhere
around Brookline Hills, standing by, counting puffs of breath,
just waiting here in Massachusetts when it’s late at night.",
"release the breath you’ve been holding for the past two years when they ask, 
what is the hardest thing you’ve ever been through?
try to reign in the links spearing through your mind like
fishing rods casting lines of starlight across the lake you’ve almost drowned in 
	twice. 
perhaps you stop upon the time
	when control melted like taffy between your fingertips, when your mother’s lung 
deflated and collapsed—for a brief moment you didn’t know if God was real but you 
prayed nonetheless. or maybe you freeze upon realizing that it could be
your excuses for your shaking hands. for when you shot upright in bed and sweat clung 
to the sheets and you couldn’t convince yourself that you were the image 
of Achilles, glistening with oil and a will to survive a war—until he didn’t. 
do not tell them that you had no Patroclus, you were not dipped into the river Styx. 
you drank those gray waters and grew a Fury for a heart when your lover crept in close and revealed himself to be a 
war. 
and he took everything from you, trained your hell-heart to hate, to hate, and 
	to hate. he tested the bounds of your immortality, cut the flesh of your heart and licked the life from his fingers. at that point, your pain was a live, writhing thing, a bird 
throwing itself against the notches of your ribcage. 
he split a pomegranate between your legs. Persephone screamed when you 
could not. 
and then the war ended, and you were astounded when the pain did not come from
	other hands. but you could still taste the sour bite of the seeds the battle scraped out of you. you did not have the will to fight anymore. 
tear this pain from me. take it away. you begged this as your skin remained
split open. Medusa came, saw herself in you. she called you beautiful. 
	but you were not beautiful. you were a wound. 
you could not stand to be touched, but you were desperate, drunk, lonely, 
and perhaps a bit in love— 
you kissed Medusa, and the rotten strips of your heart smoothed over to a polished 
stone. it wasn’t better—but it was better. 
Medusa, turn me to stone. numb me until
	the nights are silent. and she obliged. 
but then she returned to the legends, a tightly held secret 
tucked beneath your palms. 
love died and there was nothing left. you have a heart of stone and the battle rages on",
"they would care more about the Mona Lisa.
French silvers by, blue turns to red 
on the canvas. I look for the lines,
the shift in the air – a man 
there reaches

into his jacket. Hold pressure, fill
the hole with your finger, memories
pour from a sieve into my cupped
hands. Two exit signs in view,
one around Nike of Samothrace, the other
behind a closed door. That man

fumbles for his wallet. Someone tell 
the security guard there’s a bag,
a mis-stare. What news remains 
if not here 

then where? The trick is to know
how to find the buried lines  
in her face. To not be distracted
by her eyes but to follow what happens 
out of frame.  ",
"between us. A dog yanks
at its leash in my heart. 
You say, “I’m fine” 
in the morning,
at night. The chrysalis 
on the windowsill swallowed
by a cat. Two parrots

caw at each other. You and I 
sit in the same room but

its not the same room. 
I say, “Did I do something?”
In each hand, I hold a brick
pried from a wall. A mirror
reflects your face.

My mouth opens, not to say
wear your glasses please
when driving in the rain but 
to bark 

doggish booms like a hound
pointed at a rabbit who understands
not. Yet enough to know to run.  ",
"She throws her tenderness to the carnival of collage. 
Disguised ancient kings and queens hold generous masquerade
Exempt from Catechism.

They pay homage to servants who commit bestiality 
And mantis devouring their last bit of lust 
For another toast. 

She no longer needs to scream like a peacock
But savors the pandemonium 
With a grunting chameleon tongue.

She never knew in New Orleans 
People never wore colorful masks, 
They were only black or white. ",
"The sorrow and grief of her ancestors 
Presaged a tragic artistry beneath 
Her opulent skin.
When they sinned by being born with Black masks, 
They did not howl 
With the soldiers marching under confederate flag. 

Instead, 
They sang the melody of redemption, 
Melting white glaciers with the pool of light. 

Therefore, people say 
Jazz is the only true American music, conceived with 
Violent beating of drums and bitter, tortured trombone. ",
"She wakes from a frosty dream, 
Next to a face weary and jaded 
But unknown to her. 

Old souls numb the last pains of waltzing dust.
February moonlight gently pours down 
And bears her miserable epiphany. 

She hears a distant whippoorwill wailing,
Plucking the string of double bass
With its doleful wings. 

The echo carries her 
To an origin she had long forgotten,
Reverberating in the swing of saxophone.",
"Sometimes, 
as I lie awake at night,
I like to reach inside myself, 
and snap off a rib. 

I could whittle it down into a point:
sharp like a knife, 
ready to carve. 

I could fashion it into another,
born of my side,
cast off into the lonely world. 

I could crush it into dust,
Scattered into the wind,
Like ashes drifting from a pyre.

But will I remember it
when it’s gone?
Will I feel the ache,
the empty cavity, the gruesome hole?

Perhaps I will fill it
Plant flowers to grow.
But what if the vines grow too strong
And wrap around my ribs
And reach out
And strangle my heart?

So, perhaps I will catch a snake
and slip it inside
fangs to protect me
coiled to strike.
But what if its venom 
seeps into my blood
and it sheds me
like another skin?

Perhaps I will fill it with dreams,
but no --
dreams have an emptiness of their own.

So I reach back inside
and return the rib. 
And I fall asleep. ",
"When I finally meet Death
He is not cold 
Like I expected.
He is fat. 
And warm and supple 
Ripe with the fruits of his labor. 

He laughs as he sweeps souls
From one world to the next.
And his laugh is like honey
Sweet and slow
Dripping down his chin.  

He is wealth, he is extravagance.
He is rich from his trade.
The world has given 
A harvest of plenty.

When I finally meet Death
I am not afraid 
Like I expected.
And I ask him: 
What will come next?
And he says:
What came before.",
"It bubbles under the skin of the black and white 
wallpaper wrapping the front halls entrance. 
Sweetness festers under the floorboards of 
your mothers living room. It doesn’t stain, 
Just lingers in the air
Stagnant.

Whispers scream the truth over dinners
Plated for five but seating six. Tired 
Eyes serve from jeweled hands not held
For a decade. The heat is kept on during summer,
Closeting the flame
Passionless. 

It smiles behind the glass of systematically
Framed and hung family portraits. Old duvets
weep from separate bedrooms as the 
Flowers are never allowed to die. They’re 
Slaughtered outside these walls
Replaced. 

Shadows walk the backyard gardens in 
Silence. Paired frogs sit closely to watch their
Tadpoles learn how to breathe without water.
Envy burns the grass brown but rain cleanses
The arson pristine 
Perfect. 

It yells “I love you” until the mirror finally 
Breaks, coughs red pride all over the floor.
Secrets that were never promised crawl from
Behind the crown moldings and into your mouth. 
You suck and choke on 21 lackluster years
Alone. ",
"There is nothing wrong
With minty toothpaste until
It meets orange juice.

Never meant to mix
And God, when they touch it’s
Fucking disgusting.",
"she is like the sun he says
(and that is why
he loves her) 
does she remember those smoky lines
drawn across haze-ridden skies 
the rising dust in
sultry southern heat where she sits 
sideways
on a scrappy bicycle, my father in 
front, his fingers curled around 
metal handlebars. shrouded
by some all-encompassing glamour—perhaps 
it is hers, and hers alone
(because she is the sun)
moving across fractured concrete sidewalks, cramped stones behind
broken arches, dripping rain, curved around
silvery window bars. there is 
nothing
there now, only a layer
of dust, sinter settled slowly across city streets, and surely
no sun 
she must have taken
it with her, offered it to a
child, her child
and how she falters when
I refuse",
"Once flew high overhead
Wings spread, echoing freedom
Trapped in golden shell",
"A lifetime of knowledge
But no answer as to why
I can not focus",
"Thought I was hungry
But then I saw you serving
Gross chicken again",
"I finally climbed them
From the bottom to the top
Where is my money?",
"this is what I know of
heady afternoons in the glow
of a humid twilight where she sleeps 
a woven bamboo pillow beneath ropes 
of dark hair, damp tendrils curled 
the faint click of the metal door
when he comes back

streams of sunlight pooling
on ashen carpet, across the thick
comforter tucked under her chin
eyelids fluttering as I trace letters
on a plastic tablecloth
voices reverberating through
white wood. his voice echoes
her eyes are open 
and he loves her, it is true

what I know
is possibly nothing but
fabrication, sliced across
raised voices and implausible reconciliation
the one time I saw her, legs curled
on the floral loveseat
waiting, I thought, for the world
to begin rotating again
and even now:
I would not want
to be them",
"I am not the hero of the skeptic. 
Have you ever felt his wasteland in your soul?

You could never feel it at all—the static screen, the senseless Novocain, 
a sweet high giggle of denial.

No, I was the child of Doubt, my daughter, 
differing on indispensable genes—

see the weakened sugars linking helix to helix, 
faltering in the slight microbial breeze;

Doubt—that is, love confounded by its object—
pulling apart the scroll in every cell

and souring organelles—though every one tries. 
Every atom tries to write itself aright again,

to find and fix the fatal locus 
where the question leaves the answer unexpressed.

The problem recessed into chromosomal comfort so small
you would think I couldn’t feel it at all

though it split me in two—
gave me skin that needed touch, eyes that had to watch, else could not believe.

Why shouldn’t it be Doubt breaks us 
in horrible haploids, down to the bases?

It is a loss of mingling, combination,
dear chiasmus, crossing maxims dear.

I got my diagnosis from my Second Thomas,
I got my diagnosis in the mirror:

Fatal?  I asked,
In how many cases? How soothe, how cure? 

Autoimmune? Genetic?—or did I touch
a chemical once?

How long can I live 
before I’m unwritten in two, 

a doubting me, a doubting you, 
your senses at my throat, my faith at yours? 

Must we take blood?—and Whose?—
and where to prick, with what results? 

What will I see?
Can we kill Doubt before Doubt kills Me?

He told me: I am Didymus,
We’re same, except there’s two of us. 

Your pain is mine—we have two minds
and twice the same unfit solutions. 

But two’s too many for a soul,
so we’ll perish till we are 

a single cell, a single side,
a sole relief. And since we are 

the same, we wept our matching tears
for one another’s unbelief.",
"Go to the square and tell me if he’s still there,
the body ever present in my mind:
one of the Twelve they clubbed the other day,
stretched in the dust like a map
I couldn’t read,
whom no one had taken away.

Go see there mangled
Jude Thaddeus’s back so blackly bruised
it minded me of heaven,
dark and twisted before the earth was born, 
vacant violent purple-blues
in galaxies of flesh,
a knotted sky swelled with blood and bone.

Now he doesn’t cry—
there’s wordless desperation scrawled 
on his skin robbed and robeless,
where clotted fire links his endless nebulas,
where in his face there burns a cosmic
sympathy for night.

I must’ve known his bruises all my life.

Go search and see
if evening falls on the martyr-corpse,
my thoughts revolving on him 
as bands on planets;
tell me if the sunset dyes his skin 
to make his violets shine hope-green,
tell me if his open eye still dances 
like the first horizon’s star,
like a nascent blazing set upon the dark.",
"It is the split down the spine of my green, 
Newton-tattooed garbage bin 
that holds my rotting, expired chicken breasts, 
forgotten eggshells and 
metallic scraps that were once seltzer 

You have ripped the hole with your sharp, 
candy-corn-like chompers,
big enough for your furry body
to squeeze through just enough
for when I peak my head out of the kitchen window, 
I see your stripped tail hoist like a surrender flag  

A child bobbing for apples, 
you move in and out of the Jack-O-Lantern carving,
moments away from finding tonight’s dinner
Will it be my Tuesday’s lunch of orzo 
 that ends in your grimy paws? 
Or perhaps my Sunday Brunch 
of wheat toast with raspberry preserves? 

My housemate says he hears you 
every night
from his first floor bedroom window
where tops of the green and blue plastic cylinders 
look like mountain peaks when he sits in bed

From the third floor, 
I am never lucky enough 
to hear you as I flick through tv channels, 
but I know you are there 

The sprinkling of Coke cans, raspberries, 
and cheddar cheese on my door steps 
have stopped taking me by surprise 
each morning as I unlock the door
that separates me from you",
"Hangs
His fingers gripping the edges of 
The balcony, their tips
White with pressure.

Light combs through 
Mahogany hair that plasters a face
Where two dull angels weep.
Where limp, lifeless lips
Hang over a forgotten smile
And sorrow wades in rivers that
Rush down ruby hills.

Below him, a crowd 
Lingers, listening as the wind 
Serenades them with its sweet songs of spring.
He cannot hear them
But they hear him.

“I don’t want to live anymore!”
His screech lurks, haunting the air,
Disenchanting the people below and hanging still as 
They scatter away

Teachers push past 
“Go to class,” they spit
“Don’t say a word,” they growl 
I walk away but the boy’s cries still stab

Back inside, the halls have become jungles.
Leopards with Adidas paws
Speed past blood-red lockers 
On the hunt for someone to tell
For someone who will listen 

While I enter a classroom 
Lousy with the laughter 
Of boys and girls 
Ignorant of the dark realities 
That prowl just outside the door

Silently, I take my seat 
Next to Josh’s sister, waiting
Until the teachers come
Until that darkness slithers beyond the door
And comes to get her",
